company_id,cluster_name,best_stage,stage_heat,pain_type,impact,urgency
0000048677,C1 標準內銷,B,5,"無迫切需求, 填寫意願低/資料錯誤, 需求變更","業務推進, 客戶關係/數據收集, 專案時程","低, 中, 高"
0000011479,C2 大型外商,B,5,內部協調延遲,None,None
0000000917,C4 品牌驅動,B,5,資料備份需求; 系統無升級意願,資料安全; 業務發展停滯,中
0000015146,C4 品牌驅動,B,5,缺乏升級意願/需求,業務範圍單純,低
0000021586,C4 品牌驅動,B,5,客戶不願深入溝通或拖延,業務進度受阻，無法深入了解需求,中
0000022499,C4 品牌驅動,B,5,,,
0000030025,C4 品牌驅動,B,5,EGO用況良好，暫無需求；品牌排斥,業務推廣受阻,低
0000033361,C4 品牌驅動,B,5,客戶對現有系統滿意且無急迫升級或汰換需求，資安加強需求不明顯,新系統導入、資安解決方案推動、營運效率提升,低
0000047194,C4 品牌驅動,B,5,資安意識低落，缺乏事前預防計劃,資安防護,中
0000000315,C5 家族外銷,B,5,"資料不足, 系統異常","決策受阻, 業務中斷",高
0000004729,C5 家族外銷,B,5,缺乏強制要求，維持現狀,系統導入停滯,低
0000005605,C5 家族外銷,B,5,聯繫困難,業務推進受阻,高
0000007486,C5 家族外銷,B,5,客戶無需求/已有解決方案,業務推廣受阻,None
0000009091,C5 家族外銷,B,5,已有系統/競品系統，無需求,銷售機會喪失,低
0000010123,C5 家族外銷,B,5,系統決策未定,決策延遲,中
0000010336,C5 家族外銷,B,5,聯絡困難; 系統功能不足,銷售進度受阻; 營運管理效率低落,中
0000010796,C5 家族外銷,B,5,現有管理方式足夠，對資料和活動不感興趣,訂單到生產流程管理,低
0000013949,C5 家族外銷,B,5,"無系統, 僅需財務總帳, 跨國使用一套系統","財務管理, 跨國營運",中
0000014095,C5 家族外銷,B,5,"系統整合問題, 資訊孤島, 重工","效率低下, 資訊不透明, 業務中斷風險",高
0000014546,C5 家族外銷,B,5,已有競品系統,決策者不在/難以接觸,低
0000014924,C5 家族外銷,B,5,"婉拒資料接收, 無法聯繫到關鍵人物, 系統資訊不明, 聯繫方式失效","銷售進度停滯, 失去潛在客戶",中
0000015141,C5 家族外銷,B,5,"傳統經營模式, 無系統, 聯繫困難","經營價值極低, 溝通受阻",低
0000015350,C5 家族外銷,B,5,硬體設備問題,系統升級/版更,中
0000015589,C5 家族外銷,B,5,聯繫困難; 人員流動率高導致專案斷裂; 技術資料整理困難; 決策權不明確,業務進度受阻; 研發效率; 知識傳承; 決策流程,高
0000015630,C5 家族外銷,B,5,老闆個人因素導致決策延遲；客戶對報價進度及範疇不滿；決策流程間接,報價審核及決策進度受阻；客戶關係受損；需求範疇變更,高
0000016064,C5 家族外銷,B,5,主管過濾; 總機不熟悉系統; 採購會議中; 客戶使用EXCEL; 不使用系統; 主管出差; 不確定系統需求,溝通受阻; 資訊傳遞延遲; 系統導入困難; 潛在客戶需求不符; 決策者不在; 需求不明確,中
0000016106,C5 家族外銷,B,5,,,
0000016695,C5 家族外銷,B,5,無急迫需求; 評估動機不純; 潛在回扣問題,系統導入延遲; 專案受阻; 信任危機,高
0000018114,C5 家族外銷,B,5,"人力吃緊, 舊系統問題, 內部溝通問題, 競爭者威脅, 導入進度緩慢","系統更換延遲/取消, 業務流程效率低落",低
0000019404,C5 家族外銷,B,5,"決策者不在, 客戶無需求","業務進度延遲, 潛在客戶流失",中
0000023505,C5 家族外銷,B,5,前端系統未整合導致進出貨受阻; 習慣舊模式不願更新，擔心管理過細需增聘人手; 電腦硬體環境不一致 (XP/WIN10); 系統不支援MAC，缺乏WEB版; 系統無對外網路連線,進出貨流程手動化，庫存管理依賴EXCEL; MAC用戶無法使用系統; 限制系統使用場景,low
0000023827,C5 家族外銷,B,5,,,
0000025400,C5 家族外銷,B,5,"無困擾, 婉拒資訊, 已有配合系統, 剛導入, 已選擇友商, 無其他優化需求",None,低
0000025559,C5 家族外銷,B,5,潛在客戶需求不明確或已滿足,銷售機會受阻,低
0000026948,C5 家族外銷,B,5,,,
0000027071,C5 家族外銷,B,5,,,
0000027176,C5 家族外銷,B,5,客戶已採購競品,商機流失,None
0000027559,C5 家族外銷,B,5,"需求梳理困難, 製造管理流程改善, 簽核流程改善, 系統整合","報價延遲, 潛在成本高, 操作習慣差異",高
0000028393,C5 家族外銷,B,5,時程延遲/聯絡不便,銷售進度延遲,低
0000028499,C5 家族外銷,B,5,客戶需求不符與內部決策複雜,業務機會流失,高
0000028533,C5 家族外銷,B,5,"聯絡人不在/不清楚狀況, 聯絡人無回應, 客戶拒絕初訪","評估進度受阻, 商機終止","中, 高"
0000029336,C5 家族外銷,B,5,"關鍵決策者聯繫困難, 過去導入經驗不佳","業務進度受阻, 客戶對資訊化導入有疑慮",高
0000029328,C5 家族外銷,B,5,"已選擇友商, 無法拜訪",商機流失,低
0000029691,C5 家族外銷,B,5,,,
0000030099,C5 家族外銷,B,5,資訊不足,決策流程,中
0000031029,C5 家族外銷,B,5,人員不在/休假/新進人員不熟悉,業務溝通受阻/決策延遲,中
0000031137,C5 家族外銷,B,5,"內部組織異動, 職務調整, 內部整併, 工廠趕貨, 廠內大改, 訂單塞車, 國外交期拉長, 海運中斷","評估時程延後, 不確定能否在今年評估",中
0000031271,C5 家族外銷,B,5,已有系統/無需求;疫情延宕/負責單位變動;多方比較/決策流程長,業務機會流失;評估進度停滯/決策流程不確定;決策週期拉長,低;中;中
0000032500,C5 家族外銷,B,5,"['客戶認為流程單純無需求', '聯繫困難', '產品認知混淆', '競爭對手混淆']","['商機流失', '溝通延遲', '溝通障礙', '價值難以傳達']",中
0000034335,C5 家族外銷,B,5,"自行開發/無需求, 客戶拒絕, 時間不便","銷售機會喪失, 銷售進度延遲",低
0000035101,C5 家族外銷,B,5,"聯繫困難, 對方忙碌, 身體不適, 行程不固定","溝通受阻, 業務推進延遲",中
0000039556,C5 家族外銷,B,5,"無法接觸關鍵人, 客戶無需求, 原廠商合作穩定, 客戶近期已換系統, 關鍵人離職","業務拜訪受阻, 新業務機會受阻, 短期內無系統需求",中
0000039762,C5 家族外銷,B,5,"聯繫障礙, 客戶現狀滿意, 關鍵決策人不在","銷售進度受阻, 市場拓展困難",高
0000043172,C5 家族外銷,B,5,"聯繫困難, 客戶暫緩顧問導入, 工作時間不足","溝通受阻, 業務進度停滯, 顧問輔導延遲, 系統未上線",高
0000044687,C5 家族外銷,B,5,"缺乏明確需求/痛點, 內部協調問題, 外部時間壓力(報稅), 工程成本進度管理困擾(Excel)","現有流程尚可應付小規模營運, 評估範圍限於簡單財會, 團隊規模小, 潛在利潤影響, 會計師建議",中
0000045079,C5 家族外銷,B,5,,,
0000045217,C5 家族外銷,B,5,"聯繫不上關鍵人, 溝通受阻",業務進度受阻,高
0000045731,C5 家族外銷,B,5,無導入系統需求/拒絕溝通,無法接觸/銷售機會延遲,高
0000046970,C5 家族外銷,B,5,,,
0000048319,C5 家族外銷,B,5,電商平台整合問題,營運效率,中
0000048659,C5 家族外銷,B,5,,,
0000048708,C5 家族外銷,B,5,財務系統綁定會計師，電子表單簽核頻率不高；系統汰換評估暫緩，兩套系統串連整合需求；公司忙碌，系統資訊未內部討論，專案管理不符合點不明確。,財務系統無法更換，電子表單簽核需求低；系統整合問題導致評估暫緩；內部討論延遲，需求不明確。,低
0000000160,C6 外資貿易,B,5,"['已選商/競爭者領先', '聯繫困難/門禁森嚴']","['失去商機', '銷售流程受阻']",高
0000002956,C6 外資貿易,B,5,,,
0000004862,C6 外資貿易,B,5,"['產品不合適', '維修人員無法打單據', '維修複雜性高', '新進人員SOP訓練需求']","['CRM不符合', '訓練週期長', '複雜維修能力累積慢']",中
0000011533,C6 外資貿易,B,5,客戶無立即系統需求,銷售進度延遲,中
0000011948,C6 外資貿易,B,5,"系統限制 (SAP無法更換), 流程效率低 (電子簽核), 缺乏認證 (ISO), 人力不足","營運效率, 法規遵循/市場競爭力, 資訊傳遞, 業務溝通, 系統整合, 財務流程",中
0000016740,C6 外資貿易,B,5,多語言翻譯需求已內部解決，現有系統滿意,營運影響小,低
0000021571,C6 外資貿易,B,5,專案暫緩/已有替代方案/聯絡困難,專案進度停滯/無新系統需求/溝通延遲,低
0000029796,C6 外資貿易,B,5,"無法聯繫到關鍵窗口/決策者, 公司決定不換ERP","業務推進受阻, 無法確認活動/推進評估",中
