conversion_path,count,percentage
C1 → B → A → D → A → C1 → A → C1 【C1成交】,1,0.0
C1 → B → A → D → A → C1 → A → C1 → A → C1 【C1成交】,1,0.0
C1 → A → C1 → B → C1 → A 【A成交】,1,0.0
C1 → A → C1 → B → C1 → A → B 【B成交】,1,0.0
C1 → A → E → A → B → C1 → A 【A成交】,1,0.0
C1 → B → C1 → A → D 【D成交】,1,0.0
C1 → B → C1 → A → D → C1 【C1成交】,1,0.0
C1 → A → E → C1 → A → B 【B成交】,1,0.0
C1 → C2 → C1 → B → C1 → A 【A成交】,1,0.0
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A 【A成交】,1,0.0
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D 【D成交】,1,0.0
C1 → A → B → A → B → A → B 【B成交】,1,0.0
B → A → D → C1 → A → C2 → A → D → A → C1 【C1成交】,1,0.0
B → A → D → C1 → A → C2 → A → D → A → C1 → A → B → C1 【C1成交】,1,0.0
A → B → D → B → A → B → A → B → A → B → E → B → C1 【C1成交】,1,0.0
C1 → D → B → A → B 【B成交】,1,0.0
C1 → D → B → A → B → D 【D成交】,1,0.0
C1 → E → C1 → A 【A成交】,1,0.0
B → C1 → D → B → A 【A成交】,1,0.0
C1 → C2 → A → B → C1 【C1成交】,1,0.0
C1 → C2 → A → B → C1 → B → C1 【C1成交】,1,0.0
B → C1 → D → C1 → D → C1 → A 【A成交】,1,0.0
C1 → B → C1 → B → A → C1 → C2 → C1 【C1成交】,1,0.0
C1 → B → C1 → B → A → C1 → C2 → C1 → A 【A成交】,1,0.0
C1 → E → B → A → C2 → E 【C2成交】,1,0.0
A → C2 → A → B → C1 → A 【A成交】,1,0.0
A → C2 → A → B → C1 → A → B 【B成交】,1,0.0
A → C2 → A → B → C1 → A → B → A 【A成交】,1,0.0
A → C1 → E 【C1成交】,1,0.0
C2 → E → C1 【C1成交】,1,0.0
C1 → D → B → C1 → B 【B成交】,1,0.0
C1 → D → B → C1 → B → C1 【C1成交】,1,0.0
E → C1 → A → B 【B成交】,1,0.0
C1 → A → C1 → A → C1 → C2 → C1 → A → B → A 【A成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B 【B成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B 【A成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 【C1成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A 【B成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D 【D成交】,1,0.0
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B 【B成交】,1,0.0
C1 → B → C1 → A → B 【B成交】,1,0.0
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1 → B 【B成交】,1,0.0
B → C1 → B → A → C1 → B → D → E 【E成交】,1,0.0
B → C1 → B → A → C1 → B → D → E 【C1成交】,1,0.0
B → C1 → B → A → C1 → B → D → E 【A成交】,1,0.0
A → B → C1 → A → C1 【C1成交】,1,0.0
E → A → B → C1 【C1成交】,1,0.0
B → C1 → D → A → C1 【C1成交】,1,0.0
A → B → D → C1 【C1成交】,1,0.0
A → B → D → C1 → B 【B成交】,1,0.0
A → B → D → C1 → B → A 【A成交】,1,0.0
C1 → B → E → C1 → B → D → A 【A成交】,1,0.0
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 【C2成交】,1,0.0
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B 【B成交】,1,0.0
C1 → E 【C1成交】,1,0.0
A → C1 → A → B → C1 → A → C1 【C1成交】,1,0.0
A → C1 → A → B → C1 → A → C1 【B成交】,1,0.0
C1 → B → A → B → A → B → A 【A成交】,1,0.0
E → A → B → C1 → B 【B成交】,1,0.0
A → C1 → D → B → C1 【B成交】,1,0.0
A → C1 → A → B 【C1成交】,1,0.0
A → C1 → A → B 【A成交】,1,0.0
B → A → C1 → B → C1 → B 【B成交】,1,0.0
D → C2 【C2成交】,1,0.0
B → A → C1 → B → E 【E成交】,1,0.0
A → B → C1 → B 【B成交】,1,0.0
A → C1 → B → A → C1 → A → E 【E成交】,1,0.0
B → A → B → C2 → A → C1 → A → C1 → D → A 【A成交】,1,0.0
B → C2 → B → A → C1 → A → C1 → B → C1 【C1成交】,1,0.0
C1 → B → D → A → B → D → B → C1 → A → B → A → C1 → C2 【C1成交】,1,0.0
